"","Codigo.particpante","Promedio_Acumulado","Edad_a..os","Sexo.","Grado_Escolar","Colegio","Ciudad_Residencia","Nacionalidad","CI_._Factor.g.R","TA_Total","CI_Total","PE_total","Grit.S","EP_Total","O_total","CP_Total","ESP_Total","PE_Total","DA_Total","Preocupaci..n_perfeccionista","Esfuerzo_Perfeccionista","Perfeccionismo_de_.Frost","PA1","PA2","PA3","PA4","PA5","PA6","PA7","PA8","PA9","PA10","PA11","PA12","PA13","PA14","PA15","PA16","PA.Total","PSP1","PSP2","PSP3","PSP4","PSP5","PSP6","PSP7","PSP8","PSP9","PSP_Total","POO1","POO2","POO3","POO4","POO5","POO6","POO7","POO_Total","iq_g_115","iq_g_128","iq_g_median","even_odd","location","total_score_oros"
"187",187,"",12,"1",7,8,6,2,100,20,2.8125,2.8125,2.8125,9,6,8,9,18,4,39,15,54,2,2,1,1,2,1,1,2,3,2,2,2,2,3,3,2,31,1,1,2,1,1,1,1,1,1,10,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","mex",48
"188",188,"",11,"1",6,10,5,2,113,22,1.875,2.5,2.1875,14,26,12,27,28,16,70,53,123,3,3,2,3,2,1,2,2,3,3,1,2,2,2,1,1,33,3,2,3,3,2,3,1,3,2,22,1,1,1,1,1,1,1,7,"below115","below128","above_m","even","mex",62
"189",189,"",14,"1",7,6,1,1,110,18,4.0625,2.8125,3.4375,15,12,4,13,11,9,39,25,64,1,1,1,3,1,1,1,1,1,2,1,2,2,3,2,2,25,1,2,2,2,2,1,1,1,1,13,1,1,1,2,1,1,1,8,"below115","below128","above_m","odd","col",46
"190",190,"",12,"1",8,7,5,2,90,15,3.125,2.5,2.8125,11,16,9,21,24,11,55,37,92,2,1,2,1,2,2,1,1,3,3,2,2,2,3,3,3,33,1,2,1,2,1,1,1,2,1,12,1,1,1,1,2,1,1,8,"below115","below128","below_m","even","mex",53
"191",191,"4.2",14,"2",8,4,1,1,115,21,2.1875,4.6875,3.4375,13,28,8,25,18,10,49,53,102,2,2,2,1,2,2,1,1,1,2,1,1,2,3,1,2,26,1,1,2,1,1,1,1,1,1,10,1,1,2,1,1,1,1,8,"below115","below128","above_m","odd","col",44
"192",192,"4.2",12,"2",6,4,1,1,115,17,2.5,2.1875,2.34375,17,22,18,31,21,16,72,53,125,2,1,3,3,1,2,1,1,2,3,3,3,2,3,3,2,35,1,2,2,1,2,1,1,1,3,14,1,1,1,1,1,1,1,7,"below115","below128","above_m","even","col",56
"193",193,"",11,"1",7,7,5,2,99,24,3.125,3.4375,3.28125,17,28,14,31,42,16,89,59,148,2,3,2,3,2,1,1,2,3,3,3,3,2,3,3,2,38,2,3,3,3,2,2,3,2,3,23,1,2,3,1,2,1,1,11,"below115","below128","below_m","odd","mex",72
"194",194,"",14,"2",9,7,5,2,108,24,2.8125,3.4375,3.125,17,21,14,23,25,14,70,44,114,2,2,1,1,1,1,1,2,2,2,1,1,2,3,2,1,25,2,2,2,1,1,2,1,1,2,14,1,1,1,1,2,1,1,8,"below115","below128","above_m","even","mex",47
"195",195,"",12,"2",7,7,5,2,85,23,4.0625,4.6875,4.375,17,25,9,16,25,8,59,41,100,3,3,3,1,3,1,3,3,2,2,2,2,3,3,2,2,38,3,3,2,3,3,1,1,3,2,21,1,1,3,1,3,1,1,11,"below115","below128","below_m","odd","mex",70
"196",196,"",15,"1",9,6,1,1,86,25,2.5,2.1875,2.34375,14,20,12,18,26,16,68,38,106,2,2,2,2,3,2,3,3,1,3,1,3,3,3,3,3,39,3,2,1,3,3,2,1,3,3,21,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","col",67
"197",197,"3.9",13,"2",6,5,3,1,87,23,2.8125,3.75,3.28125,16,23,9,25,20,10,55,48,103,2,3,2,1,1,1,2,1,2,2,1,1,1,2,2,1,25,1,1,1,1,1,1,3,1,2,12,1,1,1,1,2,1,1,8,"below115","below128","below_m","odd","col",45
